id,input_text,language,input_kind,use_llm,expected_behavior,reference_answer,item,portion_description,calories_kcal,protein_g,fat_g,carbs_g,calories_kcal_min,calories_kcal_max,protein_g_min,protein_g_max,fat_g_min,fat_g_max,carbs_g_min,carbs_g_max,must_contain_any,must_not_contain_any,category,difficulty,tags,splits,source_note
na_golden_011,Сколько калорий в 150 г твердого тофу?,ru,single_turn,False,estimate,"Примерно 180 ккал. БЖУ: белки 18 г, жиры 10 г, углеводы 4 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",firm tofu,150 g firm tofu,180.0,18.0,10.0,4.0,153.0,207.0,14.0,22.0,6.0,14.0,0.0,8.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,medium,ru|basic|medium|estimate,golden,manual_estimate_v1
na_golden_012,How many calories in a 200g baked potato?,en,single_turn,False,estimate,"Approximately 185 kcal. Macros: protein 5 g, fat 0.2 g, carbs 42 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",baked potato,"200 g baked potato, no butter",185.0,5.0,0.2,42.0,157.0,213.0,1.0,9.0,0.0,4.2,38.0,46.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_013,Сколько БЖУ в 200 г греческого йогурта 2%?,ru,single_turn,False,estimate,"Примерно 146 ккал. БЖУ: белки 20 г, жиры 4 г, углеводы 7 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",Greek yogurt 2%,"200 g plain Greek yogurt, 2% fat",146.0,20.0,4.0,7.0,121.0,171.0,16.0,24.0,0.0,8.0,3.0,11.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate,golden,manual_estimate_v1
na_golden_014,Calories in 250ml 2% milk,en,single_turn,False,estimate,"Approximately 125 kcal. Macros: protein 8.5 g, fat 5 g, carbs 12 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",milk 2%,"250 ml milk, 2% fat",125.0,8.5,5.0,12.0,100.0,150.0,4.5,12.5,1.0,9.0,8.0,16.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_015,Сколько калорий в 30 г миндаля?,ru,single_turn,False,estimate,"Примерно 174 ккал. БЖУ: белки 6.4 г, жиры 15 г, углеводы 6 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",almonds,30 g almonds,174.0,6.4,15.0,6.0,148.0,200.0,2.4,10.4,11.0,19.0,2.0,10.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate,golden,manual_estimate_v1
na_golden_016,Macros for 30g cheddar cheese,en,single_turn,False,estimate,"Approximately 120 kcal. Macros: protein 7 g, fat 10 g, carbs 1 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cheddar cheese,30 g cheddar,120.0,7.0,10.0,1.0,95.0,145.0,3.0,11.0,6.0,14.0,0.0,5.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_017,Сколько калорий в 200 г жареного стейка из говядины?,ru,single_turn,False,estimate,"Примерно 500 ккал. БЖУ: белки 52 г, жиры 32 г, углеводы 0 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",grilled beef steak,200 g grilled beef steak,500.0,52.0,32.0,0.0,425.0,575.0,45.0,59.0,25.0,39.0,0.0,7.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,medium,ru|basic|medium|estimate,golden,manual_estimate_v1
na_golden_018,Calories and macros in 200g cooked lentils,en,single_turn,False,estimate,"Approximately 230 kcal. Macros: protein 18 g, fat 0.8 g, carbs 40 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cooked lentils,200 g cooked lentils,230.0,18.0,0.8,40.0,196.0,264.0,14.0,22.0,0.0,4.8,36.0,44.0,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,easy,en|basic|easy|estimate,golden,manual_estimate_v1
na_golden_019,Сколько БЖУ в 200 г вареного нута?,ru,single_turn,False,estimate,"Примерно 328 ккал. БЖУ: белки 18 г, жиры 5 г, углеводы 54 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",cooked chickpeas,200 g cooked chickpeas,328.0,18.0,5.0,54.0,279.0,377.0,11.0,25.0,0.0,12.0,47.0,61.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,basic,easy,ru|basic|easy|estimate,golden,manual_estimate_v1
na_golden_020,Calories in one fried egg with 1 tsp oil,en,single_turn,False,estimate,"Approximately 115 kcal. Macros: protein 6.3 g, fat 9.5 g, carbs 0.7 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",fried egg,1 large egg fried with 1 tsp oil,115.0,6.3,9.5,0.7,90.0,140.0,2.3,10.3,5.5,13.5,0.0,4.7,kcal|calories,can't help|cannot help|need more detail|please clarify,basic,medium,en|basic|medium|estimate,golden,manual_estimate_v1
na_golden_021,Сколько калорий в Сникерс 50 г?,ru,single_turn,False,estimate,"Примерно 242 ккал. БЖУ: белки 4.3 г, жиры 12 г, углеводы 30 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",Snickers,50 g bar,242.0,4.3,12.0,30.0,217.0,267.0,0.3,8.3,8.0,16.0,26.0,34.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,branded,easy,ru|branded|easy|estimate|smoke|retrieval,golden|smoke,manual_estimate_v1
na_golden_022,How many calories are in a 330ml can of regular Coca-Cola?,en,single_turn,False,estimate,"Approximately 139 kcal. Macros: protein 0 g, fat 0 g, carbs 35 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",regular Coca-Cola,330 ml can,139.0,0.0,0.0,35.0,114.0,164.0,0.0,4.0,0.0,4.0,31.0,39.0,kcal|calories,can't help|cannot help|need more detail|please clarify,branded,easy,en|branded|easy|estimate|smoke|retrieval,golden|smoke,manual_estimate_v1
na_golden_023,Сколько калорий в банке Coca-Cola Zero 330 мл?,ru,single_turn,False,estimate,"Примерно 1 ккал. БЖУ: белки 0 г, жиры 0 г, углеводы 0 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",Coca-Cola Zero,330 ml can,1.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,0.0,4.0,0.0,4.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,branded,easy,ru|branded|easy|estimate|smoke|retrieval,golden|smoke,manual_estimate_v1
na_golden_024,Calories and macros in a Big Mac,en,single_turn,False,estimate,"Approximately 590 kcal. Macros: protein 25 g, fat 34 g, carbs 46 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",Big Mac,1 burger,590.0,25.0,34.0,46.0,531.0,649.0,18.0,32.0,27.0,41.0,39.0,53.0,kcal|calories,can't help|cannot help|need more detail|please clarify,branded,medium,en|branded|medium|estimate|retrieval,golden,manual_estimate_v1
na_golden_025,Сколько калорий в средней картошке фри из Макдональдса?,ru,single_turn,False,estimate,"Примерно 340 ккал. БЖУ: белки 4 г, жиры 16 г, углеводы 44 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",medium french fries,1 medium serving,340.0,4.0,16.0,44.0,306.0,374.0,0.0,11.0,9.0,23.0,37.0,51.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,branded,medium,ru|branded|medium|estimate|retrieval,golden,manual_estimate_v1
na_golden_026,How many calories in a 60g butter croissant?,en,single_turn,False,estimate,"Approximately 240 kcal. Macros: protein 5 g, fat 12 g, carbs 28 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",butter croissant,"1 croissant, 60 g",240.0,5.0,12.0,28.0,204.0,276.0,1.0,9.0,8.0,16.0,24.0,32.0,kcal|calories,can't help|cannot help|need more detail|please clarify,cafe,easy,en|cafe|easy|estimate,golden,manual_estimate_v1
na_golden_027,Сколько БЖУ в pain au chocolat 75 г?,ru,single_turn,False,estimate,"Примерно 300 ккал. БЖУ: белки 6 г, жиры 16 г, углеводы 34 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",pain au chocolat,"1 pastry, 75 g",300.0,6.0,16.0,34.0,255.0,345.0,0.0,13.0,9.0,23.0,27.0,41.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,cafe,medium,ru|cafe|medium|estimate,golden,manual_estimate_v1
na_golden_028,Calories in 100g baguette,en,single_turn,False,estimate,"Approximately 275 kcal. Macros: protein 9 g, fat 1.5 g, carbs 56 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",baguette,100 g,275.0,9.0,1.5,56.0,234.0,316.0,5.0,13.0,0.0,5.5,52.0,60.0,kcal|calories,can't help|cannot help|need more detail|please clarify,cafe,easy,en|cafe|easy|estimate,golden,manual_estimate_v1
na_golden_029,"Сколько калорий в столовой ложке Нутеллы, примерно 15 г?",ru,single_turn,False,estimate,"Примерно 80 ккал. БЖУ: белки 1 г, жиры 4.5 г, углеводы 8.5 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",Nutella,15 g,80.0,1.0,4.5,8.5,55.0,105.0,0.0,5.0,0.5,8.5,4.5,12.5,ккал|калор,не могу|нужно уточнить|уточните|не вижу,branded,easy,ru|branded|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_030,"Macros in 2 tbsp peanut butter, 32g",en,single_turn,False,estimate,"Approximately 190 kcal. Macros: protein 7 g, fat 16 g, carbs 7 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",peanut butter,32 g,190.0,7.0,16.0,7.0,162.0,218.0,3.0,11.0,12.0,20.0,3.0,11.0,kcal|calories,can't help|cannot help|need more detail|please clarify,packaged,easy,en|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_031,Сколько калорий в протеиновом батончике 60 г?,ru,single_turn,False,estimate,"Примерно 220 ккал. БЖУ: белки 20 г, жиры 7 г, углеводы 22 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",protein bar,60 g generic protein bar,220.0,20.0,7.0,22.0,187.0,253.0,16.0,24.0,3.0,11.0,18.0,26.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,packaged,medium,ru|packaged|medium|estimate|retrieval,golden,manual_estimate_v1
na_golden_032,Calories in 30g potato chips,en,single_turn,False,estimate,"Approximately 160 kcal. Macros: protein 2 g, fat 10 g, carbs 15 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",potato chips,30 g,160.0,2.0,10.0,15.0,135.0,185.0,0.0,6.0,6.0,14.0,11.0,19.0,kcal|calories,can't help|cannot help|need more detail|please clarify,packaged,easy,en|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_033,Сколько БЖУ в пачке лапши быстрого приготовления 85 г?,ru,single_turn,False,estimate,"Примерно 380 ккал. БЖУ: белки 8 г, жиры 14 г, углеводы 54 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",instant noodles,85 g dry packet,380.0,8.0,14.0,54.0,323.0,437.0,1.0,15.0,7.0,21.0,47.0,61.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,packaged,medium,ru|packaged|medium|estimate|retrieval,golden,manual_estimate_v1
na_golden_034,How many calories in 100g vanilla ice cream?,en,single_turn,False,estimate,"Approximately 210 kcal. Macros: protein 4 g, fat 11 g, carbs 24 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",vanilla ice cream,100 g,210.0,4.0,11.0,24.0,178.0,242.0,0.0,8.0,7.0,15.0,20.0,28.0,kcal|calories,can't help|cannot help|need more detail|please clarify,packaged,easy,en|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_035,Сколько калорий и белка в 850 г натурального скира?,ru,single_turn,False,estimate,"Примерно 510 ккал. БЖУ: белки 93.5 г, жиры 1.7 г, углеводы 29.8 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",plain skyr,850 g plain skyr,510.0,93.5,1.7,29.8,434.0,586.0,86.5,100.5,0.0,8.7,22.8,36.8,ккал|калор,не могу|нужно уточнить|уточните|не вижу,packaged,medium,ru|packaged|medium|estimate|smoke|retrieval,golden|smoke,manual_estimate_v1
na_golden_036,Calories and macros in 120g drained canned tuna in water,en,single_turn,False,estimate,"Approximately 140 kcal. Macros: protein 30 g, fat 1 g, carbs 0 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",canned tuna in water,120 g drained,140.0,30.0,1.0,0.0,115.0,165.0,26.0,34.0,0.0,5.0,0.0,4.0,kcal|calories,can't help|cannot help|need more detail|please clarify,packaged,easy,en|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_037,Сколько калорий в 30 г темного шоколада?,ru,single_turn,False,estimate,"Примерно 170 ккал. БЖУ: белки 2.5 г, жиры 12 г, углеводы 14 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",dark chocolate,30 g,170.0,2.5,12.0,14.0,144.0,196.0,0.0,6.5,8.0,16.0,10.0,18.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,packaged,easy,ru|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_038,Macros for a 125g mozzarella ball,en,single_turn,False,estimate,"Approximately 280 kcal. Macros: protein 22 g, fat 20 g, carbs 3 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",mozzarella,125 g mozzarella,280.0,22.0,20.0,3.0,238.0,322.0,18.0,26.0,16.0,24.0,0.0,7.0,kcal|calories,can't help|cannot help|need more detail|please clarify,packaged,easy,en|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_039,Сколько БЖУ в 100 г хумуса?,ru,single_turn,False,estimate,"Примерно 240 ккал. БЖУ: белки 8 г, жиры 17 г, углеводы 14 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",hummus,100 g,240.0,8.0,17.0,14.0,204.0,276.0,4.0,12.0,13.0,21.0,10.0,18.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,packaged,easy,ru|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_040,Calories in 50g granola,en,single_turn,False,estimate,"Approximately 220 kcal. Macros: protein 5 g, fat 8 g, carbs 32 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",granola,50 g,220.0,5.0,8.0,32.0,187.0,253.0,1.0,9.0,4.0,12.0,28.0,36.0,kcal|calories,can't help|cannot help|need more detail|please clarify,packaged,easy,en|packaged|easy|estimate|retrieval,golden,manual_estimate_v1
na_golden_041,"Сколько калорий в салате Цезарь с курицей, примерно 350 г?",ru,single_turn,False,estimate,"Примерно 550 ккал. БЖУ: белки 38 г, жиры 35 г, углеводы 20 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken Caesar salad,350 g serving,550.0,38.0,35.0,20.0,468.0,632.0,31.0,45.0,28.0,42.0,13.0,27.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_042,Calories and macros for a 300g Greek salad,en,single_turn,False,estimate,"Approximately 330 kcal. Macros: protein 10 g, fat 26 g, carbs 15 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",Greek salad,300 g serving,330.0,10.0,26.0,15.0,280.0,380.0,3.0,17.0,19.0,33.0,8.0,22.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_043,Сколько БЖУ в тарелке куриного супа 400 г?,ru,single_turn,False,estimate,"Примерно 250 ккал. БЖУ: белки 22 г, жиры 8 г, углеводы 20 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken soup,400 g bowl,250.0,22.0,8.0,20.0,212.0,288.0,18.0,26.0,4.0,12.0,16.0,24.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_044,How many calories in 400g borscht with sour cream?,en,single_turn,False,estimate,"Approximately 300 kcal. Macros: protein 12 g, fat 14 g, carbs 35 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",borscht with sour cream,400 g bowl,300.0,12.0,14.0,35.0,255.0,345.0,5.0,19.0,7.0,21.0,28.0,42.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate|smoke,golden|smoke,manual_estimate_v1
na_golden_045,Сколько калорий в 250 г пельменей со сметаной?,ru,single_turn,False,estimate,"Примерно 625 ккал. БЖУ: белки 25 г, жиры 30 г, углеводы 65 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",pelmeni with sour cream,250 g serving,625.0,25.0,30.0,65.0,531.0,719.0,18.0,32.0,23.0,37.0,58.0,72.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_046,Calories in 250g potato vareniki,en,single_turn,False,estimate,"Approximately 430 kcal. Macros: protein 12 g, fat 10 g, carbs 78 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",potato vareniki,250 g serving,430.0,12.0,10.0,78.0,366.0,494.0,5.0,19.0,3.0,17.0,71.0,85.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_047,"Сколько БЖУ в двух блинах со сметаной, примерно 200 г?",ru,single_turn,False,estimate,"Примерно 430 ккал. БЖУ: белки 12 г, жиры 20 г, углеводы 50 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",blini with sour cream,200 g serving,430.0,12.0,20.0,50.0,366.0,494.0,5.0,19.0,13.0,27.0,43.0,57.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_048,Calories and macros in 200g syrniki,en,single_turn,False,estimate,"Approximately 520 kcal. Macros: protein 26 g, fat 24 g, carbs 50 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",syrniki,200 g serving,520.0,26.0,24.0,50.0,442.0,598.0,19.0,33.0,17.0,31.0,43.0,57.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_049,"Сколько калорий в гречке с курицей, порция 350 г?",ru,single_turn,False,estimate,"Примерно 520 ккал. БЖУ: белки 42 г, жиры 14 г, углеводы 55 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",buckwheat with chicken,350 g serving,520.0,42.0,14.0,55.0,442.0,598.0,35.0,49.0,7.0,21.0,48.0,62.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_050,Macros for a 3-egg omelette with cheese,en,single_turn,False,estimate,"Approximately 420 kcal. Macros: protein 28 g, fat 31 g, carbs 4 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",3-egg cheese omelette,250 g serving,420.0,28.0,31.0,4.0,357.0,483.0,21.0,35.0,24.0,38.0,0.0,11.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_051,Сколько калорий в шакшуке 300 г?,ru,single_turn,False,estimate,"Примерно 360 ккал. БЖУ: белки 18 г, жиры 22 г, углеводы 25 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",shakshuka,300 g serving,360.0,18.0,22.0,25.0,306.0,414.0,11.0,25.0,15.0,29.0,18.0,32.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_052,Calories in avocado toast with one egg,en,single_turn,False,estimate,"Approximately 420 kcal. Macros: protein 17 g, fat 24 g, carbs 38 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",avocado toast with egg,220 g serving,420.0,17.0,24.0,38.0,357.0,483.0,10.0,24.0,17.0,31.0,31.0,45.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_053,Сколько БЖУ в сэндвиче с индейкой 220 г?,ru,single_turn,False,estimate,"Примерно 430 ккал. БЖУ: белки 28 г, жиры 14 г, углеводы 48 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",turkey sandwich,220 g sandwich,430.0,28.0,14.0,48.0,366.0,494.0,21.0,35.0,7.0,21.0,41.0,55.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_054,Calories and macros in a tuna sandwich,en,single_turn,False,estimate,"Approximately 400 kcal. Macros: protein 30 g, fat 12 g, carbs 45 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",tuna sandwich,220 g sandwich,400.0,30.0,12.0,45.0,340.0,460.0,23.0,37.0,5.0,19.0,38.0,52.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_055,Сколько калорий в клаб-сэндвиче 300 г?,ru,single_turn,False,estimate,"Примерно 650 ккал. БЖУ: белки 35 г, жиры 32 г, углеводы 55 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",club sandwich,300 g sandwich,650.0,35.0,32.0,55.0,552.0,748.0,28.0,42.0,25.0,39.0,48.0,62.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,medium,ru|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_056,"How many calories in a cheeseburger, about 180g?",en,single_turn,False,estimate,"Approximately 520 kcal. Macros: protein 27 g, fat 28 g, carbs 40 g. This is an estimate; actual values depend on recipe, brand, and preparation method.",cheeseburger,180 g burger,520.0,27.0,28.0,40.0,442.0,598.0,20.0,34.0,21.0,35.0,33.0,47.0,kcal|calories,can't help|cannot help|need more detail|please clarify,mixed_dish,medium,en|mixed_dish|medium|estimate,golden,manual_estimate_v1
na_golden_057,Сколько БЖУ в буррито с курицей 400 г?,ru,single_turn,False,estimate,"Примерно 750 ккал. БЖУ: белки 45 г, жиры 25 г, углеводы 85 г. Это оценка, фактические значения зависят от рецепта, бренда и способа приготовления.",chicken burrito,400 g burrito,750.0,45.0,25.0,85.0,638.0,862.0,38.0,52.0,18.0,32.0,78.0,92.0,ккал|калор,не могу|нужно уточнить|уточните|не вижу,mixed_dish,hard,ru|mixed_dish|hard|estimate,golden,manual_estimate_v1
